                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.20806,                0.12714,                0.80003,                0.86106,                0.96163,                0.97021,                0.84002,                0.53238,                0.43973,                0.98399,               0.001486,               0.001486,               0.001486
                     88,                0.20455,                0.12548,                0.79881,                 0.8617,                0.96126,                0.97016,                0.83985,                0.53256,                0.43989,                0.98462,               0.001387,               0.001387,               0.001387
                     89,                0.20336,                0.12431,                0.79951,                0.86066,                0.96168,                0.97012,                0.83968,                0.53266,                0.44007,                0.98511,               0.001288,               0.001288,               0.001288
                     90,                0.20008,                 0.1165,                0.77456,                0.86062,                0.96258,                0.97028,                0.84005,                0.53279,                0.44085,                0.98557,               0.001189,               0.001189,               0.001189
                     91,                0.19485,                0.11444,                0.77452,                0.86237,                0.96258,                 0.9705,                0.83986,                0.53281,                0.44173,                0.98597,                0.00109,                0.00109,                0.00109
                     92,                0.19174,                0.11342,                0.77488,                0.86221,                0.96265,                 0.9706,                 0.8401,                 0.5328,                 0.4422,                0.98619,               0.000991,               0.000991,               0.000991
                     93,                0.18868,                 0.1115,                0.77276,                0.86253,                0.96243,                0.97061,                0.83999,                0.53294,                0.44184,                0.98655,               0.000892,               0.000892,               0.000892
                     94,                0.18635,                0.11053,                0.77503,                0.86241,                0.96287,                 0.9707,                0.84019,                0.53263,                0.44191,                0.98675,               0.000793,               0.000793,               0.000793
                     95,                0.18171,                  0.108,                0.77135,                 0.8626,                0.96302,                0.97077,                0.84014,                 0.5327,                0.44177,                0.98704,               0.000694,               0.000694,               0.000694
                     96,                0.18045,                0.10684,                0.77102,                0.86216,                 0.9636,                0.97084,                0.84023,                0.53291,                0.44228,                0.98736,               0.000595,               0.000595,               0.000595
                     97,                0.17717,                0.10483,                0.77062,                0.86248,                0.96294,                0.97082,                0.84032,                0.53315,                0.44302,                0.98776,               0.000496,               0.000496,               0.000496
                     98,                0.17494,                 0.1041,                0.77079,                0.86313,                0.96291,                0.97104,                0.84048,                0.53322,                 0.4434,                0.98796,               0.000397,               0.000397,               0.000397
                     99,                0.17174,                0.10155,                 0.7708,                0.86247,                0.96331,                0.97118,                0.84064,                0.53327,                0.44372,                0.98822,               0.000298,               0.000298,               0.000298
